Designator,Mid X,Mid Y,Rotation,Layer
C1,119.732999,-80.67,180.0,top
C10,146.624279,-83.40436,315.0,top
C11,135.004,-76.012,180.0,top
C13,145.931314,-84.054899,315.0,top
C14,148.119,-81.171,0.0,top
C15,122.699868,-71.981243,180.0,top
C16,146.624279,-72.797758,45.0,top
C17,149.600332,-79.849221,45.0,top
C18,142.322,-85.937,315.0,top
C19,136.958129,-82.67604,225.0,top
C2,116.994999,-85.862,180.0,top
C20,141.235258,-73.824671,45.0,top
C22,145.195056,-72.642969,90.0,top
C23,135.466134,-83.20637,315.0,top
C24,137.62281,-85.363045,135.0,top
C3,120.28099,-86.391991,315.0,top
C4,121.565006,-85.178008,315.0,top
C5,147.497088,-77.315057,315.0,top
C6,146.807659,-78.004486,315.0,top
C7,148.790387,-79.281523,45.0,top
C8,137.251,-73.552,90.0,top
C9,138.633972,-84.252888,225.0,top
D1,149.586822,-84.97928,180.0,top
J1,133.387297,-69.175444,270.0,top
J2,133.391957,-91.997315,270.0,top
L1,113.291999,-84.741,180.0,top
L2,148.726039,-76.104488,315.0,top
R1,159.481265,-85.686387,0.0,top
R2,150.143081,-77.935896,225.0,top
R3,123.610622,-75.948644,90.0,top
R4,123.645977,-80.807349,270.0,top
R5,137.863225,-83.538711,45.0,top
R6,147.518148,-74.72765,225.0,top
R7,146.813163,-74.022663,45.0,top
R9,147.707938,-84.979279,0.0,top
SW1,131.591309,-79.916485,270.0,bottom
SW3,115.12175,-78.453,0.0,bottom
SW4,152.180528,-82.66522,180.0,bottom
U1,118.237999,-83.421,90.0,top
U2,159.42423,-80.376328,90.0,top
U4,126.907856,-76.145979,270.0,top
U5,134.957017,-85.949944,315.0,top
U6,141.956507,-79.672445,45.0,top
